ANO,TRIMESTRE DESEMB,CANAL,TMBDI
2015,20151,Verde,"12,9784"
2015,20151,Amarelo,"204,5315"
2015,20151,Vermelho,"296,4818"
2015,20152,Verde,"13,2187"
2015,20152,Amarelo,"223,4459"
2015,20152,Vermelho,"330,6485"
2015,20153,Verde,"12,8074"
2015,20153,Amarelo,"256,9286"
2015,20153,Vermelho,"409,6754"
2015,20154,Verde,"13,3759"
2015,20154,Amarelo,"272,5855"
2015,20154,Vermelho,"400,4297"
2016,20161,Verde,"12,3563"
2016,20161,Amarelo,"291,9045"
2016,20161,Vermelho,"357,8738"
2016,20162,Verde,"11,3408"
2016,20162,Amarelo,"282,9932"
2016,20162,Vermelho,"283,0158"
2016,20163,Verde,"11,7569"
2016,20163,Amarelo,"333,9059"
2016,20163,Vermelho,"343,087"
2016,20164,Verde,"14,1783"
2016,20164,Amarelo,"371,6943"
2016,20164,Vermelho,"430,758"
2017,20171,Verde,"9,7482"
2017,20171,Amarelo,"304,7288"
2017,20171,Vermelho,"328,5747"
2017,20172,Verde,"8,9103"
2017,20172,Amarelo,"247,269"
2017,20172,Vermelho,"299,8988"
2017,20173,Verde,"8,9591"
2017,20173,Amarelo,"243,461"
2017,20173,Vermelho,"279,7885"
2017,20174,Verde,"9,2499"
2017,20174,Amarelo,"273,2219"
2017,20174,Vermelho,"361,6194"
2018,20181,Verde,"9,1722"
2018,20181,Amarelo,"349,6746"
2018,20181,Vermelho,"412,152"
2018,20182,Verde,"10,1869"
2018,20182,Amarelo,"365,9107"
2018,20182,Vermelho,"417,5293"
2018,20183,Verde,"9,9252"
2018,20183,Amarelo,"335,3086"
2018,20183,Vermelho,"446,9432"
2018,20184,Verde,"9,8064"
2018,20184,Amarelo,"293,5584"
2018,20184,Vermelho,"322,734"
2019,20191,Verde,"9,8024"
2019,20191,Amarelo,"238,6761"
2019,20191,Vermelho,"309,5708"
2019,20192,Verde,"9,8993"
2019,20192,Amarelo,"287,1581"
2019,20192,Vermelho,"299,9979"
2019,20193,Verde,"9,578"
2019,20193,Amarelo,"290,6273"
2019,20193,Vermelho,"296,9284"
2019,20194,Verde,"9,8506"
2019,20194,Amarelo,"302,9297"
2019,20194,Vermelho,"300,6366"
2020,20201,Verde,"10,2383"
2020,20201,Amarelo,"308,6007"
2020,20201,Vermelho,"352,4327"
2020,20202,Verde,"10,1375"
2020,20202,Amarelo,"285,1117"
2020,20202,Vermelho,"411,0773"
2020,20203,Verde,"8,3374"
2020,20203,Amarelo,"273,4443"
2020,20203,Vermelho,"298,4367"
2020,20204,Verde,"8,8525"
2020,20204,Amarelo,"239,8224"
2020,20204,Vermelho,"357,6042"
2021,20211,Verde,"8,7176"
2021,20211,Amarelo,"353,3745"
2021,20211,Vermelho,"409,8027"
2021,20212,Verde,"8,217"
2021,20212,Amarelo,"260,3708"
2021,20212,Vermelho,"306,4333"
2021,20213,Verde,"7,7859"
2021,20213,Amarelo,"217,2878"
2021,20213,Vermelho,"323,0683"
2021,20214,Verde,"9,0544"
2021,20214,Amarelo,"233,0206"
2021,20214,Vermelho,"362,4881"
2022,20221,Verde,"9,1012"
2022,20221,Amarelo,"436,4588"
2022,20221,Vermelho,"584,9355"
2022,20222,Verde,"9,6877"
2022,20222,Amarelo,"526,8509"
2022,20222,Vermelho,"689,457"
2022,20223,Verde,"9,0918"
2022,20223,Amarelo,"403,9827"
2022,20223,Vermelho,"515,566"
2022,20224,Verde,"10,1865"
2022,20224,Amarelo,"277,8463"
2022,20224,Vermelho,"437,7964"
2023,20231,Verde,"7,6297"
2023,20231,Amarelo,"254,4581"
2023,20231,Vermelho,"371,1528"
2023,20232,Verde,"8,1354"
2023,20232,Amarelo,"300,8032"
2023,20232,Vermelho,"371,4838"